Mercury,4879,57.9
Venus,12104,108.2
Earth,12756,149.6
Mars,6792,227.9
Jupiter,142984,778.6
Saturn,120536,1433.5
Uranus,51118,2872.5
Neptune,49528,4495.1
Pluto,2370,5906.4
